STATENAME,URL,WEBSITE,ACTIVITY_LEVEL,ACTIVITY_LEVEL_LABEL,WEEKENDING,WEEK 
Missouri,http://www.dhss.mo.gov/Influenza/Reports.html,Influenza Data & Statistical Reports ,Level 1,Minimal,Nov-04-2011,44
Montana,http://dphhs.mt.gov/influenza/index.shtml,Influenza: What You Need to Know,Level 1,Minimal,Nov-04-2011,44
Nebraska,http://www.hhs.state.ne.us/flu/report.htm,Weekly Flu Report,Level 1,Minimal,Nov-04-2011,44
Nevada,http://health.nv.gov/Influenza_Surveillance.htm,"Influenza (Flu): Surveillance, News Releases and Brochures",Level 1,Minimal,Nov-04-2011,44
New Hampshire,http://www.dhhs.nh.gov/dphs/cdcs/influenza/activity.htm,Influenza Control and Surveillance,Level 1,Minimal,Nov-04-2011,44
New Jersey,http://www.state.nj.us/health/flu/surveillance.shtml,Seasonal Influenza - Surveillance,Level 1,Minimal,Nov-04-2011,44
New Mexico,http://nmhealth.org/FLU/,Flu in New Mexico,Level 1,Minimal,Nov-04-2011,44
New York,http://www.health.ny.gov/diseases/communicable/influenza/surveillance/,"Influenza Activity, Surveillance and Reports",Level 1,Minimal,Nov-04-2011,44
North Carolina,http://www.flu.nc.gov,North Carolina Influenza Update,Level 1,Minimal,Nov-04-2011,44
North Dakota,http://www.ndflu.com/default.aspx,Influenza,Level 1,Minimal,Nov-04-2011,44
Ohio,https://public.odh.ohio.gov/pages/default.aspx,Influenza Information,Level 1,Minimal,Nov-04-2011,44
Oklahoma,http://www.ok.gov/health/Disease%2c_Prevention%2c_Preparedness/Acute_Disease_Service/Disease_Information/Influenza_Home_Page.html,Influenza Information,Level 1,Minimal,Nov-04-2011,44
Oregon,http://www.oregon.gov/DHS/ph/acd/flu/surveil.shtml,Influenza Disease Surveillance Data,Level 1,Minimal,Nov-04-2011,44
Pennsylvania,http://www.portal.state.pa.us/portal/server.pt?open=514&objID=557490&mode=2,Influenza Weekly Report ,Level 1,Minimal,Nov-04-2011,44
Rhode Island,http://www.health.ri.gov/flu/about/surveillance/,Influenza Surveillance,Level 1,Minimal,Nov-04-2011,44
South Carolina,http://www.scdhec.gov/health/disease/acute/flu.htm,Influenza Activity and Surveillance,Level 1,Minimal,Nov-04-2011,44
South Dakota,http://doh.sd.gov/Flu/,Influenza Information,Level 1,Minimal,Nov-04-2011,44
Tennessee,http://health.state.tn.us/TNflu_report_archive.htm,Influenza-Like Illness Surveillance Summary Archive,Level 1,Minimal,Nov-04-2011,44
Texas,http://www.dshs.state.tx.us/idcu/disease/influenza/surveillance/,Influenza Surveillance,Level 1,Minimal,Nov-04-2011,44
Utah,http://health.utah.gov/epi/diseases/flu/InfoGeneralPublic/General_Public_flu_info.htm,Seasonal Influenza Weekly Update,Level 1,Minimal,Nov-04-2011,44
Vermont,http://healthvermont.gov/prevent/flu/flusurveillance.aspx#activity,Flu Activity,Level 1,Minimal,Nov-04-2011,44
Virginia,http://www.vdh.state.va.us/Epidemiology/Surveillance/Influenza/index.htm,Virginia Weekly Influenza Activity Report,Level 2,Minimal,Nov-04-2011,44
Washington,http://www.doh.wa.gov/EHSPHL/Epidemiology/CD/fluupdate.pdf,Influenza Update,Level 1,Minimal,Nov-04-2011,44
West Virginia,http://www.wvidep.org/tabid/1960/Default.aspx,Current Influenza Surveillance,Level 1,Minimal,Nov-04-2011,44
Wisconsin,http://www.dhs.wisconsin.gov/communicable/influenza/Tracking.htm,Tracking Influenza in Wisconsin,Level 1,Minimal,Nov-04-2011,44
Wyoming,http://www.health.wyo.gov/phsd/epiid/flu.html,Influenza,Level 1,Minimal,Nov-04-2011,44
New York City,http://www.nyc.gov/html/doh/flu/html/data/data.shtml,Surveillance Data,Level 2,Minimal,Nov-04-2011,44
